twitter,url,name,location,timezone,country,language,bundle,wait,no_adguard
baynature,https://baynature.org/,Bay Nature,Berkeley,America/Los_Angeles,US,en,bay-area|california,,
bbc,https://www.bbc.com/news,BBC,London,Europe/London,GB,en,,,
bcenquirer,https://www.battlecreekenquirer.com/,Battle Creek Enquirer,Battle Creek,America/Detroit,US,en,michigan|gannett,,
bcn_foundation,http://www.localnewsmatters.org/,Local News Matters,Berkeley,America/Los_Angeles,US,en,bay-area|california,,
bctimes,https://www.timesonline.com/,The Beaver County Times,Beaver,America/New_York,US,en,pennsylvania|gannett,,
beaconjournal,https://www.beaconjournal.com/,Akron Beacon Journal,Akron,America/New_York,US,en,ohio|gannett,,
beaufortgazette,http://www.beaufortgazette.com,Beaufort Gazette,Beaufort,America/New_York,US,en,south-carolina|mcclatchy,,
bellevillenewsd,http://www.bnd.com,Belleville News Democrat,Belleville,America/Chicago,US,en,illinois|mcclatchy,,
bellingcat,https://www.bellingcat.com/,Bellingcat,London,Europe/London,GB,en,,,
belt_magazine,http://beltmag.com/,Belt Magazine,Cleveland,America/New_York,US,en,,,
beltel,https://www.belfasttelegraph.co.uk/,Belfast Telegraph,Belfast,Europe/Dublin,GB,en,,,
berkeleyside,https://berkeleyside.org/,The Berkeleyside,Berkeley,America/Los_Angeles,US,en,bay-area|california,,
berkshireeagle,https://www.berkshireeagle.com/,Berkshire Eagle,Pittsfield,America/New_York,US,en,massachusetts,,
bettergov,https://www.bettergov.org/,Better Government Association,Chicago,America/Chicago,US,en,illinois|chicago,,
bfmtv,https://www.bfmtv.com/,BFMTV,Paris,Europe/Paris,FR,fr,,,
bfp_news,https://www.burlingtonfreepress.com/,Burlington Free Press,Burlington,America/New_York,US,en,vermont|gannett,,
bgdailynews,https://www.bgdailynews.com/,Bowling Green Daily News,Bowling Green,America/Chicago,US,en,kentucky,,
bhamherald,http://www.bellinghamherald.com,Bellingham Herald,Bellingham,America/Los_Angeles,US,en,washington|mcclatchy,,
bhamwatch,http://birminghamwatch.org/,BirminghamWatch,Birmingham,America/Chicago,US,en,,,
bild,https://www.bild.de/,Bild,Berlin,Europe/Berlin,DE,de,,,TRUE
billingsgazette,https://billingsgazette.com/,Billings Gazette,Billings,America/Denver,US,en,montana,,
billy_penn,https://billypenn.com/,Billy Penn,Philadelphia,America/New_York,US,en,pennsylvania|philadelphia,,
binjreports,https://www.binjonline.org/,Boston Institute for Nonprofit Journalism,Somerville,America/New_York,US,en,massachusetts,,
bistrib,https://bismarcktribune.com/,The Bismarck Tribune,Bismarck,America/Chicago,US,en,north-dakota,,
bklyner,https://bklyner.com/,Bklyner,Brooklyn,America/New_York,US,en,new-york-city|new-york-state,,
blackbygodwv,https://blackbygod.org/,Black by God,Black Appalachia,America/New_York,US,en,,,
blaw,https://news.bloomberglaw.com/,Bloomberg Law,New York City,America/New_York,US,en,,,
