handle,performance_count,performance_median,performance_mean,performance_min,performance_max,performance_std,accessibility_count,accessibility_median,accessibility_mean,accessibility_min,accessibility_max,accessibility_std,seo_count,seo_median,seo_mean,seo_min,seo_max,seo_std,best_practices_count,best_practices_median,best_practices_mean,best_practices_min,best_practices_max,best_practices_std,performance_color,accessibility_color,seo_color,best_practices_color,performance_rank,accessibility_rank,seo_rank,best_practices_rank
newsmax,20,0.135,0.137,0.08,0.2,0.031136372367546707,20,0.8,0.795,0.76,0.8200000000000001,0.01820930936000654,20,0.77,0.77,0.77,0.77,0.0,20,0.67,0.697,0.58,0.75,0.055828685326301176,red,orange,orange,orange,990.0,814.0,989.0,979.0
newsminer,13,0.38,0.3761538461538461,0.29,0.43,0.050255756144356484,13,0.87,0.87,0.87,0.87,0.0,13,0.8300000000000001,0.8300000000000001,0.83,0.8300000000000001,4.5324665183683945e-17,13,0.8300000000000001,0.8115384615384615,0.75,0.8300000000000001,0.03508232077228119,red,orange,orange,orange,493.0,413.0,871.0,298.0
newsobserver,15,0.2,0.19,0.09,0.37,0.06480740698407858,15,0.79,0.7900000000000001,0.79,0.79,0.0,15,0.85,0.85,0.85,0.85,0.0,15,0.75,0.7446666666666667,0.67,0.75,0.020655911179772883,red,orange,orange,orange,813.0,851.0,724.0,786.0
newspressnow,15,0.14,0.136,0.05,0.2,0.037568984168174835,15,0.94,0.94,0.94,0.94,0.0,15,0.91,0.91,0.91,0.91,0.0,15,0.67,0.67,0.67,0.67,0.0,red,green,green,orange,979.0,162.0,487.0,979.0
newsrepublican,18,0.76,0.758888888888889,0.69,0.84,0.03305768378934526,18,0.87,0.8677777777777778,0.86,0.87,0.004277926319465009,18,0.92,0.9200000000000002,0.92,0.92,0.0,18,0.8300000000000001,0.8255555555555556,0.75,0.8300000000000001,0.01885618083164128,orange,orange,green,orange,259.0,413.0,233.0,298.0
nextcityorg,15,0.44,0.42533333333333334,0.27,0.51,0.0717999867356401,15,0.96,0.9599999999999999,0.96,0.96,0.0,15,0.98,0.98,0.98,0.98,0.0,15,0.92,0.8780000000000001,0.8300000000000001,0.92,0.04647580015448898,red,green,green,green,429.0,89.0,68.0,126.0
nhpr,15,0.39,0.384,0.18,0.54,0.1027340533332824,15,0.93,0.93,0.93,0.93,0.0,15,0.91,0.91,0.91,0.91,0.0,15,0.92,0.9086666666666667,0.75,0.92,0.043893811257017405,red,green,green,green,486.0,189.0,487.0,126.0
nhregister,15,0.16,0.16,0.16,0.16,0.0,15,0.68,0.68,0.68,0.68,0.0,15,0.85,0.85,0.85,0.85,0.0,15,0.67,0.664,0.58,0.67,0.023237900077244522,red,orange,orange,orange,923.0,1036.0,724.0,979.0
nikkei,23,0.72,0.6869565217391305,0.46,0.77,0.07701444862129893,23,0.88,0.8799999999999999,0.88,0.88,0.0,23,0.97,0.97,0.97,0.97,0.0,23,1.0,0.978695652173913,0.83,1.0,0.044752282605683605,orange,orange,green,green,264.0,324.0,116.0,1.0
northjersey,15,0.83,0.73,0.44,0.88,0.16483758239985374,15,0.87,0.8693333333333333,0.86,0.88,0.005936168397046637,15,0.92,0.92,0.92,0.92,0.0,15,0.8300000000000001,0.8306666666666668,0.75,0.92,0.032175116087406676,orange,orange,green,orange,204.0,413.0,233.0,298.0
novayagazeta_eu,23,0.42,0.42826086956521736,0.36,0.51,0.039960454760475765,23,0.89,0.8678260869565217,0.72,0.89,0.05853953766776548,23,1.0,1.0,1.0,1.0,0.0,23,1.0,1.0,1.0,1.0,0.0,red,orange,green,green,455.0,291.0,1.0,1.0
ntdaily,15,0.14,0.15266666666666667,0.11,0.25,0.036344908597386524,15,0.68,0.68,0.68,0.68,0.0,15,0.81,0.81,0.81,0.81,0.0,15,0.58,0.592,0.58,0.67,0.031667919774704886,red,orange,orange,orange,979.0,1036.0,952.0,1067.0
nwademgaz,15,0.21,0.23066666666666666,0.18,0.33,0.04366539438350084,15,0.86,0.844,0.77,0.87,0.038507884164897206,15,0.92,0.92,0.92,0.92,0.0,15,0.8300000000000001,0.8480000000000001,0.83,0.92,0.03726354020448712,red,orange,green,orange,786.0,627.0,233.0,298.0
nwfdailynews,15,0.8300000000000001,0.6933333333333334,0.43,0.86,0.18976175539218595,15,0.88,0.878,0.87,0.89,0.005606119105813898,15,0.92,0.92,0.92,0.92,0.0,15,0.8300000000000001,0.8306666666666668,0.75,0.92,0.03217511608740668,orange,orange,green,orange,168.0,324.0,233.0,298.0
