identifier,handle,file_name,url,title,date,publicdate,addeddate
presscitizen-2022,presscitizen,presscitizen-2022.json,https://archive.org/details/presscitizen-2022,Iowa City Press-Citizen homepages in 2022,2022,2022-03-25 03:35:38,2022-03-25 03:35:38
pressenterprise-2022,pressenterprise,pressenterprise-2022.json,https://archive.org/details/pressenterprise-2022,Riverside Press-Enterprise homepages in 2022,2022,2022-03-23 02:09:29,2022-03-23 02:09:29
qctimes-2022,qctimes,qctimes-2022.json,https://archive.org/details/qctimes-2022,Quad City Times homepages in 2022,2022,2022-03-25 03:35:53,2022-03-25 03:35:53
realdailywire-2022,realDailyWire,realdailywire-2022.json,https://archive.org/details/realdailywire-2022,Daily Wire homepages in 2022,2022,2022-03-25 18:45:55,2022-03-25 18:45:55
rianru-2022,rianru,rianru-2022.json,https://archive.org/details/rianru-2022,RIA Novosti homepages in 2022,2022,2022-03-23 02:09:28,2022-03-23 02:09:28
sahanjournal-2022,SahanJournal,sahanjournal-2022.json,https://archive.org/details/sahanjournal-2022,Sahan Journal homepages in 2022,2022,2022-04-01 22:42:14,2022-04-01 22:42:14
sdut-2022,sdut,sdut-2022.json,https://archive.org/details/sdut-2022,San Diego Union Tribune homepages in 2022,2022,2022-03-23 02:09:42,2022-03-23 02:09:42
sfchronicle-2022,sfchronicle,sfchronicle-2022.json,https://archive.org/details/sfchronicle-2022,San Francisco Chronicle homepages in 2022,2022,2022-03-23 02:09:45,2022-03-23 02:09:45
source_nm-2022,source_nm,source_nm-2022.json,https://archive.org/details/source_nm-2022,Source New Mexico homepages in 2022,2022,2022-03-25 03:48:20,2022-03-25 03:48:20
startribune-2022,StarTribune,startribune-2022.json,https://archive.org/details/startribune-2022,Minneapolis Star Tribune homepages in 2022,2022,2022-04-01 22:42:36,2022-04-01 22:42:36
stevenspointjrl-2022,StevensPointJrl,stevenspointjrl-2022.json,https://archive.org/details/stevenspointjrl-2022,Stevens Point Journal homepages in 2022,2022,2022-03-23 23:07:34,2022-03-23 23:07:34
telegraph-2022,Telegraph,telegraph-2022.json,https://archive.org/details/telegraph-2022,The Telegraph homepages in 2022,2022,2022-03-23 08:03:49,2022-03-23 08:03:49
telegraphherald-2022,Telegraph,telegraphherald-2022.json,https://archive.org/details/telegraphherald-2022,Dubuque Telegraph Herald homepages in 2022,2022,2022-03-25 14:09:23,2022-03-25 14:09:23
telegraphherald-2022,TelegraphHerald,telegraphherald-2022.json,https://archive.org/details/telegraphherald-2022,Dubuque Telegraph Herald homepages in 2022,2022,2022-03-25 14:09:23,2022-03-25 14:09:23
theblaze-2022,theblaze,theblaze-2022.json,https://archive.org/details/theblaze-2022,Blaze homepages in 2022,2022,2022-03-25 18:27:04,2022-03-25 18:27:04
thedbk-2022,thedbk,thedbk-2022.json,https://archive.org/details/thedbk-2022,The Diamondback homepages in 2022,2022,2022-04-01 13:16:49,2022-04-01 13:16:49
thelasentinel-2022,thelasentinel,thelasentinel-2022.json,https://archive.org/details/thelasentinel-2022,Los Angeles Sentinel homepages in 2022,2022,2022-03-25 02:05:03,2022-03-25 02:05:03
thenewmexican-2022,thenewmexican,thenewmexican-2022.json,https://archive.org/details/thenewmexican-2022,Santa Fe New Mexican homepages in 2022,2022,2022-03-25 03:48:42,2022-03-25 03:48:42
theonion-2022,TheOnion,theonion-2022.json,https://archive.org/details/theonion-2022,The Onion homepages in 2022,2022,2022-05-25 16:00:43,2022-05-25 16:00:43
thesun-2022,TheSun,thesun-2022.json,https://archive.org/details/thesun-2022,The Sun homepages in 2022,2022,2022-03-23 08:04:03,2022-03-23 08:04:03
thetimes-2022,TheTimes,thetimes-2022.json,https://archive.org/details/thetimes-2022,The Times homepages in 2022,2022,2022-03-23 08:04:21,2022-03-23 08:04:21
ukrinform-2022,ukrinform,ukrinform-2022.json,https://archive.org/details/ukrinform-2022,Ukrinform homepages in 2022,2022,2022-03-23 17:48:55,2022-03-23 17:48:55
usatoday-2022,USATODAY,usatoday-2022.json,https://archive.org/details/usatoday-2022,USA Today homepages in 2022,2022,2022-03-23 12:05:23,2022-03-23 12:05:23
vcstar-2022,vcstar,vcstar-2022.json,https://archive.org/details/vcstar-2022,Ventura County Star homepages in 2022,2022,2022-03-23 02:10:28,2022-03-23 02:10:28
voiceofsandiego-2022,voiceofsandiego,voiceofsandiego-2022.json,https://archive.org/details/voiceofsandiego-2022,Voice of San Diego homepages in 2022,2022,2022-03-26 02:09:17,2022-03-26 02:09:17
washtimes-2022,WashTimes,washtimes-2022.json,https://archive.org/details/washtimes-2022,Washington Times homepages in 2022,2022,2022-03-25 18:45:19,2022-03-25 18:45:19
wausauherald-2022,wausauherald,wausauherald-2022.json,https://archive.org/details/wausauherald-2022,Wausau Daily Herald homepages in 2022,2022,2022-03-23 23:07:49,2022-03-23 23:07:49
wcfcourier-2022,wcfcourier,wcfcourier-2022.json,https://archive.org/details/wcfcourier-2022,Waterloo-Cedar Falls Courier homepages in 2022,2022,2022-03-25 14:09:45,2022-03-25 14:09:45
wistatejournal-2022,WiStateJournal,wistatejournal-2022.json,https://archive.org/details/wistatejournal-2022, Wisconsin State Journal homepages in 2022,2022,2022-03-23 23:08:08,2022-03-23 23:08:08
wncn-2022,WNCN,wncn-2022.json,https://archive.org/details/wncn-2022,CBS 17 homepages in 2022,2022,2022-03-26 14:58:09,2022-03-26 14:58:09
wral-2022,wral,wral-2022.json,https://archive.org/details/wral-2022,WRAL homepages in 2022,2022,2022-03-26 14:57:50,2022-03-26 14:57:50
wsj-2022,wsj,wsj-2022.json,https://archive.org/details/wsj-2022,Wall Street Journal homepages in 2022,2022,2022-03-23 12:05:37,2022-03-23 12:05:37
