handle,datetime,screenshot_url,hyperlinks_url,accessibility_url,lighthouse_url,wayback_url
unichicago,2022-10-18 16:11:32.065923+00:00,https://archive.org/download/unichicago-2022/unichicago-2022-10-18T11:11:32.065923-05:00.jpg,https://archive.org/download/unichicago-2022/unichicago-2022-10-18T11:11:32.065923-05:00.hyperlinks.json,https://archive.org/download/unichicago-2022/unichicago-2022-10-18T11:11:32.065923-05:00.accessibility.json,https://archive.org/download/unichicago-2022/unichicago-2022-10-18T11:11:32.065923-05:00.lighthouse.json,https://archive.org/download/unichicago-2022/unichicago-2022-10-18T11:11:32.065923-05:00.wayback.json
uninoticias,2022-10-18 15:18:12.900390+00:00,https://archive.org/download/uninoticias-2022/uninoticias-2022-10-18T11:18:12.900390-04:00.jpg,https://archive.org/download/uninoticias-2022/uninoticias-2022-10-18T11:18:12.900390-04:00.hyperlinks.json,https://archive.org/download/uninoticias-2022/uninoticias-2022-10-18T11:18:12.900390-04:00.accessibility.json,https://archive.org/download/uninoticias-2022/uninoticias-2022-10-18T11:18:12.900390-04:00.lighthouse.json,https://archive.org/download/uninoticias-2022/uninoticias-2022-10-18T11:18:12.900390-04:00.wayback.json
uolnoticias,2022-10-18 15:18:18.928063+00:00,https://archive.org/download/uolnoticias-2022/uolnoticias-2022-10-18T12:18:18.928063-03:00.jpg,https://archive.org/download/uolnoticias-2022/uolnoticias-2022-10-18T12:18:18.928063-03:00.hyperlinks.json,https://archive.org/download/uolnoticias-2022/uolnoticias-2022-10-18T12:18:18.928063-03:00.accessibility.json,https://archive.org/download/uolnoticias-2022/uolnoticias-2022-10-18T12:18:18.928063-03:00.lighthouse.json,https://archive.org/download/uolnoticias-2022/uolnoticias-2022-10-18T12:18:18.928063-03:00.wayback.json
ur_ninja,2022-10-18 19:57:12.160937+00:00,https://archive.org/download/ur_ninja-2022/ur_ninja-2022-10-18T14:57:12.160937-05:00.jpg,https://archive.org/download/ur_ninja-2022/ur_ninja-2022-10-18T14:57:12.160937-05:00.hyperlinks.json,https://archive.org/download/ur_ninja-2022/ur_ninja-2022-10-18T14:57:12.160937-05:00.accessibility.json,https://archive.org/download/ur_ninja-2022/ur_ninja-2022-10-18T14:57:12.160937-05:00.lighthouse.json,https://archive.org/download/ur_ninja-2022/ur_ninja-2022-10-18T14:57:12.160937-05:00.wayback.json
usatoday,2022-10-18 21:24:30.310746+00:00,https://archive.org/download/usatoday-2022/usatoday-2022-10-18T17:24:30.310746-04:00.jpg,https://archive.org/download/usatoday-2022/usatoday-2022-10-18T17:24:30.310746-04:00.hyperlinks.json,https://archive.org/download/usatoday-2022/usatoday-2022-10-18T17:24:30.310746-04:00.accessibility.json,https://archive.org/download/usatoday-2022/usatoday-2022-10-18T17:24:30.310746-04:00.lighthouse.json,https://archive.org/download/usatoday-2022/usatoday-2022-10-18T17:24:30.310746-04:00.wayback.json
usnews,2022-10-18 15:17:22.112553+00:00,https://archive.org/download/usnews-2022/usnews-2022-10-18T11:17:22.112553-04:00.jpg,https://archive.org/download/usnews-2022/usnews-2022-10-18T11:17:22.112553-04:00.hyperlinks.json,https://archive.org/download/usnews-2022/usnews-2022-10-18T11:17:22.112553-04:00.accessibility.json,https://archive.org/download/usnews-2022/usnews-2022-10-18T11:17:22.112553-04:00.lighthouse.json,https://archive.org/download/usnews-2022/usnews-2022-10-18T11:17:22.112553-04:00.wayback.json
usweekly,2022-10-18 07:17:31.120547+00:00,https://archive.org/download/usweekly-2022/usweekly-2022-10-18T03:17:31.120547-04:00.jpg,https://archive.org/download/usweekly-2022/usweekly-2022-10-18T03:17:31.120547-04:00.hyperlinks.json,https://archive.org/download/usweekly-2022/usweekly-2022-10-18T03:17:31.120547-04:00.accessibility.json,https://archive.org/download/usweekly-2022/usweekly-2022-10-18T03:17:31.120547-04:00.lighthouse.json,https://archive.org/download/usweekly-2022/usweekly-2022-10-18T03:17:31.120547-04:00.wayback.json
uticaod,2022-10-18 07:17:52.774890+00:00,https://archive.org/download/uticaod-2022/uticaod-2022-10-18T03:17:52.774890-04:00.jpg,https://archive.org/download/uticaod-2022/uticaod-2022-10-18T03:17:52.774890-04:00.hyperlinks.json,https://archive.org/download/uticaod-2022/uticaod-2022-10-18T03:17:52.774890-04:00.accessibility.json,https://archive.org/download/uticaod-2022/uticaod-2022-10-18T03:17:52.774890-04:00.lighthouse.json,https://archive.org/download/uticaod-2022/uticaod-2022-10-18T03:17:52.774890-04:00.wayback.json
uvaldenews,2022-10-18 15:17:23.412588+00:00,https://archive.org/download/uvaldenews-2022/uvaldenews-2022-10-18T10:17:23.412588-05:00.jpg,https://archive.org/download/uvaldenews-2022/uvaldenews-2022-10-18T10:17:23.412588-05:00.hyperlinks.json,https://archive.org/download/uvaldenews-2022/uvaldenews-2022-10-18T10:17:23.412588-05:00.accessibility.json,https://archive.org/download/uvaldenews-2022/uvaldenews-2022-10-18T10:17:23.412588-05:00.lighthouse.json,https://archive.org/download/uvaldenews-2022/uvaldenews-2022-10-18T10:17:23.412588-05:00.wayback.json
uwogazette,2022-10-18 07:17:37.529917+00:00,https://archive.org/download/uwogazette-2022/uwogazette-2022-10-18T03:17:37.529917-04:00.jpg,https://archive.org/download/uwogazette-2022/uwogazette-2022-10-18T03:17:37.529917-04:00.hyperlinks.json,https://archive.org/download/uwogazette-2022/uwogazette-2022-10-18T03:17:37.529917-04:00.accessibility.json,https://archive.org/download/uwogazette-2022/uwogazette-2022-10-18T03:17:37.529917-04:00.lighthouse.json,https://archive.org/download/uwogazette-2022/uwogazette-2022-10-18T03:17:37.529917-04:00.wayback.json
